No,Date,Route,Bike,Location,Distance(km),RideTime,AvgSpeed(km/h),MaxSpeed(km/h),AvgHR,MaxHR,MaxCadence,GPSPoints
60,2015-12-06 05:29,과천시,Santa Cruz,과천시,27.71,1:53:57,14.6,36.3,,,,974
61,2015-12-11 23:37,안양시,Santa Cruz,안양시,31.40,1:50:00,17.1,45.8,,,,986
62,2015-12-13 05:01,군포시,Santa Cruz,군포시,20.93,1:26:01,14.6,73.5,,,,515
63,2015-12-13 07:46,의왕시,Santa Cruz,의왕시,6.53,0:39:41,9.9,30.8,,,,217
64,2015-12-26 07:03,안양시,Santa Cruz,안양시,26.70,2:03:07,13.0,33.7,,,,698
65,2016-05-09 00:23,Cyclemeter,,,226.22,27:58:19,8.1,28.0,,,,2894
66,2016-10-22 07:51,안양시,Santa Cruz,안양시,5.82,0:11:07,31.4,74.0,,,,172
67,2016-11-02 00:13,Cyclemeter,,,65.64,4:06:30,16.0,37.4,,,,2457
68,2017-04-21 00:38,Santa Cruz,Santa Cruz,,69.47,3:26:48,20.2,38.5,,,,2553
69,2017-04-22 00:11,Ghost,Ghost,,86.49,5:34:34,15.5,29.2,,,,1854
70,2017-05-03 00:22,Santa Cruz,Santa Cruz,,85.82,4:32:49,18.9,56.2,,,,2085
71,2017-05-04 08:14,Ghost,Ghost,,16.64,0:57:52,17.2,43.4,,,,542
72,2017-05-07 22:20,Ghost,Ghost,,21.84,0:47:29,27.6,75.8,,,,389
73,2017-05-08 09:17,Ghost,Ghost,,18.97,0:56:56,20.0,65.1,,,,646
74,2017-05-10 21:58,안양시,Ghost,안양시,16.97,0:57:01,17.9,48.2,,,,566
75,2017-05-13 00:47,속초시,Ghost,속초시,52.72,2:45:22,19.1,49.0,,,,1811
76,2017-05-13 22:47,Ghost,Ghost,,14.73,0:53:45,16.4,36.9,,,,455
77,2017-05-14 22:06,Ghost,Ghost,,17.08,0:53:51,19.0,46.1,,,,652
78,2017-05-15 09:53,Ghost,Ghost,,17.43,0:57:18,18.2,46.9,,,,774
79,2017-05-15 22:04,Ghost,Ghost,,17.00,0:54:19,18.8,40.1,,,,637
80,2017-05-16 08:36,Ghost,Ghost,,23.17,1:25:43,16.2,53.4,,,,791
81,2017-05-17 08:31,Ghost,Ghost,,16.54,1:05:11,15.2,44.4,,,,641
82,2017-05-17 22:09,Ghost,Ghost,,16.54,0:55:11,18.0,39.6,,,,662
83,2017-05-22 09:55,Ghost,Ghost,,16.47,1:01:54,16.0,40.4,,,,496
84,2017-05-23 08:16,수원시,Ghost,수원시,17.89,0:40:30,26.5,46.1,,,124,262
85,2017-05-24 22:03,Ghost,Ghost,,17.20,0:53:59,19.1,42.4,,,,701
86,2017-05-25 09:47,Ghost,Ghost,,18.11,1:06:35,16.3,43.9,,,,600
87,2017-05-28 22:01,Ghost,Ghost,,15.03,0:47:59,18.8,49.8,,,,554
88,2017-05-29 10:57,Ghost,Ghost,,16.79,0:58:33,17.2,38.5,,,,675
89,2017-05-29 21:53,Ghost,Ghost,,16.28,0:55:57,17.5,37.3,,,,523
90,2017-05-30 08:18,Ghost,Ghost,,17.76,1:04:03,16.6,40.7,,,,556
91,2017-06-01 09:55,Ghost,Ghost,,19.09,0:57:42,19.8,61.0,,,,380
92,2017-06-04 07:51,Ghost,Ghost,,57.86,2:45:36,21.0,41.4,,,,2022
93,2017-06-11 00:00,Ghost,Ghost,,45.17,2:15:02,20.1,78.3,,,,1168
94,2017-06-11 21:53,Ghost,Ghost,,16.81,0:58:27,17.3,46.4,,,,561
95,2017-06-12 11:33,Ghost,Ghost,,17.11,1:08:12,15.0,40.9,,,,569
96,2017-06-12 21:55,Ghost,Ghost,,17.32,1:05:14,15.9,43.0,,,,637
97,2017-06-13 12:21,Ghost,Ghost,,17.86,1:00:22,17.7,54.0,,,,590
98,2017-06-14 22:01,Ghost,Ghost,,30.17,2:02:56,14.7,37.1,,,,2168
99,2017-06-15 09:21,Ghost,Ghost,,24.14,1:11:49,20.2,53.4,,,,478
100,2017-06-17 23:01,Ghost,Ghost,,25.97,1:27:40,17.8,49.1,,,,939
101,2017-06-18 01:42,Ghost,Ghost,,17.67,0:56:15,18.8,32.7,,,,486
102,2017-06-18 22:06,Ghost,Ghost,,17.79,1:07:39,15.8,48.4,,,,730
103,2017-06-19 09:14,Ghost,Ghost,,17.22,1:09:32,14.9,42.0,,,,609
104,2017-06-19 21:59,Ghost,Ghost,,17.02,1:04:59,15.7,38.3,,,,600
105,2017-06-21 08:15,Ghost,Ghost,,18.11,1:15:43,14.3,40.2,,,,663
106,2017-06-21 22:04,Ghost,Ghost,,16.83,1:02:49,16.1,39.0,,,,513
107,2017-06-25 01:09,Ghost,Ghost,,16.62,1:34:25,10.6,41.8,,,,560
108,2017-06-25 22:10,Ghost,Ghost,,17.75,1:09:18,15.4,37.1,,,,553
109,2017-06-29 10:36,Ghost,Ghost,,22.33,1:10:17,19.1,66.5,,,,440
110,2017-07-02 22:09,Ghost,Ghost,,17.58,1:04:58,16.2,34.0,,,,566
111,2017-07-03 09:18,Ghost,Ghost,,18.90,1:08:49,16.5,49.8,,,,600
112,2017-07-03 22:08,Ghost,Ghost,,20.41,1:02:23,19.6,55.6,,,,394
113,2017-07-04 08:32,Ghost,Ghost,,17.15,1:08:46,15.0,45.6,,,,655
114,2017-07-05 22:05,Ghost,Ghost,,17.92,1:05:12,16.5,67.1,,,,562
115,2017-07-10 22:04,Ghost,Ghost,,16.85,1:02:28,16.2,39.0,,,,506
116,2017-07-11 12:42,수원시,Ghost,수원시,17.35,1:08:49,15.1,36.3,,,,500
117,2017-07-11 22:07,안양시,Ghost,안양시,17.74,1:05:20,16.3,43.6,,,,528
118,2017-07-12 08:26,수원시,Ghost,수원시,17.16,1:08:13,15.1,42.0,125,161,,483
119,2017-07-15 01:37,춘천시,Ghost,춘천시,40.13,2:38:28,15.2,30.7,100,155,,948
120,2017-07-16 22:22,안양시,Ghost,안양시,16.95,1:02:43,16.2,43.3,135,157,150,576
121,2017-07-17 08:45,수원시,Ghost,수원시,17.54,1:07:10,15.7,43.5,126,156,101,461
122,2017-07-17 22:06,안양시,Ghost,안양시,17.48,1:05:29,16.0,48.5,130,156,137,707
123,2017-07-18 08:42,수원시,Ghost,수원시,17.76,1:08:17,15.6,44.7,124,156,102,553
124,2017-07-18 22:05,안양시,Ghost,안양시,17.48,1:04:36,16.2,44.4,113,152,144,509
125,2017-07-31 22:07,안양시,Ghost,안양시,17.60,1:03:35,16.6,46.1,,,93,581
126,2017-08-01 08:25,수원시,Ghost,수원시,17.22,1:00:24,17.1,45.5,128,157,,664
127,2017-08-01 22:09,안양시,Ghost,안양시,17.20,1:02:35,16.5,43.7,,,,456
128,2017-08-02 08:19,수원시,Ghost,수원시,16.60,1:04:05,15.5,40.0,123,153,,401
129,2017-08-02 22:07,수원시,Ghost,수원시,16.81,1:01:49,16.3,40.2,131,157,,442
130,2017-08-03 12:24,수원시,Ghost,수원시,17.14,1:03:35,16.2,39.8,124,159,,449
131,2017-08-06 22:28,안양시,Ghost,안양시,17.65,1:09:27,15.2,45.6,,,,562
132,2017-08-08 22:05,안양시,Ghost,안양시,16.78,1:01:03,16.5,43.4,124,151,,420
133,2017-08-09 08:39,수원시,Ghost,수원시,17.21,1:00:28,17.1,40.1,123,157,,473
134,2017-08-09 22:05,안양시,Ghost,안양시,17.59,1:02:27,16.9,41.5,125,162,,534
135,2017-08-12 23:12,안양시,Ghost,안양시,83.60,4:10:02,20.1,53.5,,,,2918
136,2017-08-16 08:24,수원시,Ghost,수원시,16.85,1:01:34,16.4,39.6,119,148,,431
137,2017-08-16 22:06,안양시,Ghost,안양시,16.94,1:04:03,15.9,41.4,122,148,,469
138,2017-08-20 22:47,안양시,Ghost,안양시,16.75,1:03:32,15.8,33.7,133,157,,399
139,2017-08-21 09:39,수원시,Ghost,수원시,17.33,1:04:22,16.2,43.9,121,157,,513
140,2017-08-21 22:02,안양시,Ghost,안양시,17.99,1:02:38,17.2,48.2,135,171,,516
141,2017-08-22 11:58,수원시,Ghost,수원시,19.06,1:02:48,18.2,58.8,133,175,,578
142,2017-08-23 22:01,안양시,Ghost,안양시,19.63,1:02:02,19.0,49.2,140,170,,683
143,2017-08-24 09:27,수원시,Ghost,수원시,27.22,1:16:14,21.4,71.2,123,161,,824
144,2017-08-27 00:01,화성시,Ghost,화성시,37.75,1:49:44,20.6,41.4,,,,1960
145,2017-08-28 22:08,안양시,Ghost,안양시,21.02,1:07:35,18.7,72.7,132,166,,502
146,2017-08-29 08:27,수원시,Ghost,수원시,18.11,1:17:25,14.0,43.3,132,162,,474
147,2017-08-30 08:30,수원시,Ghost,수원시,16.81,1:07:56,14.8,40.4,119,157,,416
148,2017-08-30 21:52,안양시,Ghost,안양시,17.19,1:04:18,16.0,38.5,127,160,,505
149,2017-09-13 09:10,수원시,Ghost,수원시,18.46,1:13:17,15.1,47.7,120,164,,542
150,2017-09-18 09:17,수원시,Ghost,수원시,16.46,1:07:47,14.6,38.4,121,165,,505
151,2017-09-18 21:57,안양시,Ghost,안양시,16.51,1:02:16,15.9,35.3,132,166,,487
152,2017-09-19 08:32,수원시,Ghost,수원시,16.73,1:06:38,15.1,44.2,119,159,,669
153,2017-09-20 08:16,수원시,Ghost,수원시,16.34,1:05:07,15.1,40.2,,,,479
154,2017-09-20 22:01,안양시,Ghost,안양시,16.28,1:01:11,16.0,34.2,135,169,,445
155,2017-09-24 22:03,안양시,Ghost,안양시,16.50,0:59:39,16.6,38.2,,,,466
156,2017-09-25 09:41,수원시,Ghost,수원시,16.40,1:07:24,14.6,35.8,119,157,,433
157,2017-09-25 22:02,안양시,Ghost,안양시,16.50,1:04:58,15.2,39.7,129,164,,481
158,2017-09-26 11:59,수원시,Ghost,수원시,16.52,1:04:17,15.4,39.1,121,164,,410
159,2017-09-27 08:18,Ghost,Ghost,,16.44,0:58:30,16.9,41.2,127,164,,456
160,2017-09-29 08:13,수원시,Ghost,수원시,16.34,1:08:02,14.4,37.5,112,153,,480
161,2017-10-06 01:58,춘천시,Ghost,춘천시,133.73,6:40:47,20.0,78.4,103,150,,2953
162,2017-10-09 22:09,안양시,Ghost,안양시,16.56,1:03:17,15.7,41.2,129,156,,441
