"Route","Bike","Location","Start Time","Time (secs)","Stopped Time (secs)","Distance (km)","Average Speed (km/h)","Fastest Speed (km/h)","Ascent (metres)","Average Heart Rate (bpm)","Maximum Heart Rate (bpm)","Average Cadence (rpm)","Maximum Cadence (rpm)"
"","Santa Cruz","군포시","2015-05-25 07:42:00",4783,5065,16.06,12.09,28.63,504,"","","",""
"","Santa Cruz","안양시","2015-05-27 18:25:37",11975,6087,66.34,19.94,36.47,596,"","","",""
"","","","2015-07-02 18:13:07",52292,0,22.28,1.53,18.31,1808,"","","",""
"","Santa Cruz","시흥시","2015-07-26 09:26:31",2167,1473,9.99,16.59,32.86,110,"","","",""
"","Santa Cruz","과천시","2015-08-02 08:56:51",21163,2024,72.31,12.3,27.51,568,"","","",""
"","Santa Cruz","서초구","2015-08-08 11:51:05",5157,3308,21.92,15.3,50.17,226,"","","",""
"","Santa Cruz","안양시","2015-08-09 07:22:05",23090,9267,116.21,18.12,40.61,949,"","","",""
"","Santa Cruz","안양시","2015-11-17 18:55:52",8164,844,50.33,22.2,66.56,797,"","","",""
"","Santa Cruz","강남구","2015-11-29 12:07:55",1737,1209,9.38,19.45,53.22,96,"","","",""
"","Santa Cruz","과천시","2015-12-06 14:29:07",6838,1712,27.71,14.59,36.33,651,"","","",""
"","Santa Cruz","안양시","2015-12-12 08:37:46",6600,1258,31.4,17.13,45.79,620,"","","",""
"","Santa Cruz","군포시","2015-12-13 14:01:30",5162,2776,20.93,14.6,73.45,663,"","","",""
"","Santa Cruz","의왕시","2015-12-13 16:46:08",2381,439,6.53,9.87,30.78,187,"","","",""
"","Santa Cruz","안양시","2015-12-26 16:03:39",7387,1273,26.7,13.01,33.7,568,"","","",""
"","","","2016-05-09 09:23:09",100699,99595,226.22,8.09,28.03,1521,"","","",""
"","Santa Cruz","안양시","2016-10-22 16:51:45",668,427,5.82,31.36,74.01,90,"","","",""
"","","","2016-11-02 09:13:14",14790,7949,65.64,15.98,37.4,236,"","","",""
"","","","2016-11-02 09:13:14",14790,7949,65.64,15.98,37.4,236,"","","",""
"","Santa Cruz","","2017-04-21 09:38:55",12408,14607,69.47,20.15,38.52,576,"","","",""
"",Ghost,"","2017-04-22 09:11:57",20074,16009,86.49,15.51,29.16,351,"","","",""
"","Santa Cruz","","2017-05-03 09:22:22",16369,10958,85.82,18.87,56.16,850,"","","",""
"",Ghost,"","2017-05-04 17:14:54",3473,1051,16.64,17.25,43.41,377,"","","",""
"",Ghost,"","2017-05-08 07:20:58",2850,1146,21.84,27.59,75.78,11,"","","",""
"",Ghost,"","2017-05-08 18:17:23",3417,920,18.97,19.99,65.13,339,"","","",""
"",Ghost,"안양시","2017-05-11 06:58:49",3421,1363,16.97,17.85,48.2,283,"","","",""
"",Ghost,"속초시","2017-05-13 09:47:26",9923,10243,52.72,19.13,49.01,562,"","","",""
"",Ghost,"","2017-05-14 07:47:42",3226,5324,14.73,16.43,36.9,213,"","","",""
"",Ghost,"","2017-05-15 07:06:11",3231,1267,17.08,19.03,46.14,358,"","","",""
"",Ghost,"","2017-05-15 18:53:15",3438,1192,17.43,18.25,46.88,458,"","","",""
