"Route","Bike","Location","Start Time","Time (secs)","Stopped Time (secs)","Distance (km)","Average Speed (km/h)","Fastest Speed (km/h)","Ascent (metres)","Average Heart Rate (bpm)","Maximum Heart Rate (bpm)","Average Cadence (rpm)","Maximum Cadence (rpm)"
"",Ghost,"수원시","2018-08-02 20:54:25",3995,414,16.51,14.88,37.65,83,"","","",""
"",Ghost,"안양시","2018-08-03 06:55:55",7905,34410,32.76,14.92,41.67,188,"","","",""
"",Ghost,"안양시","2018-08-04 11:24:25",3897,2372,18.28,16.89,31.21,12,"","","",""
"",Ghost,"안양시","2018-08-06 06:58:25",3831,824,16.52,15.52,41.42,92,"","","",""
"",Ghost,"수원시","2018-08-06 18:14:59",4133,560,16.48,14.36,43.91,89,"","","",""
"",Ghost,"안양시","2018-08-09 06:55:17",3818,646,16.46,15.52,36.78,108,"","","",""
"",Ghost,"수원시","2018-08-13 18:53:54",4051,808,16.45,14.62,40.26,87,"","","",""
"",Ghost,"안양시","2018-08-14 07:01:08",3609,932,16.75,16.7,45.77,93,"","","",""
"",Ghost,"안양시","2018-08-16 06:53:42",3795,593,16.63,15.78,42.99,102,"","","",""
"",Ghost,"수원시","2018-08-17 17:15:15",3776,1068,16.51,15.74,38.09,95,"","","",""
"",Ghost,"안양시","2018-08-20 06:49:20",3706,535,16.54,16.07,36.39,117,"","","",""
"",Ghost,"안양시","2018-08-26 17:37:01",4887,1189,20.52,15.12,39.95,212,"","","",""
"",Ghost,"안양시","2018-09-04 07:00:44",7436,37454,33.11,16.03,40.73,195,"","","",""
"",Ghost,"수원시","2018-09-05 17:35:21",3890,709,16.4,15.18,44.16,93,"","","",""
"",Ghost,"안양시","2018-09-06 06:53:10",3879,353,16.48,15.3,44.28,117,"","","",""
"",Ghost,"안양시","2018-09-07 06:40:16",7718,35361,32.92,15.35,38.15,219,"","","",""
"",Ghost,"안양시","2018-09-08 09:29:15",6887,1776,22.81,11.92,39.18,331,"","","",""
"",Ghost,"수원시","2018-09-10 18:05:24",4745,3573,18.72,14.2,42.07,102,"","","",""
"",Ghost,"안양시","2018-09-11 06:53:08",3797,794,16.53,15.68,36.1,166,"","","",""
"",Ghost,"수원시","2018-09-12 18:12:21",3795,485,16.47,15.63,34.7,82,"","","",""
"",Ghost,"안양시","2018-09-13 06:56:54",3643,723,16.43,16.23,38.4,103,"","","",""
"",Ghost,"춘천시","2018-09-16 10:48:41",23947,10495,133.34,20.05,64.63,177,"","","",""
"",Ghost,"안양시","2018-09-17 07:06:13",7748,41470,32.87,15.27,42.92,208,"","","",""
"",Ghost,"안양시","2018-09-18 07:01:33",7120,36052,32.96,16.66,38.38,208,"","","",""
"",Ghost,"안양시","2018-09-26 17:32:02",4930,1346,20.62,15.06,34.44,207,"","","",""
"",Ghost,"양평군","2018-09-29 08:35:58",10094,4938,34.74,12.39,43.85,588,"","","",""
"",Ghost,"안양시","2018-11-10 09:48:43",7137,2675,21.38,10.78,34.71,562,"","","",""
"",Ghost,"안양시","2018-12-01 09:49:02",4852,1838,20.98,15.57,36.58,229,"","","",""
"",Ghost,"안양시","2018-12-16 13:20:32",5277,2673,21.64,14.76,66.79,285,"","","",""
"",Ghost,"안양시","2019-02-23 19:32:13",1988,165,6.88,12.46,21.92,0,"","","",""
"",Ghost,"안양시","2019-02-25 07:05:07",3951,465,16.34,14.89,39.21,101,"","","",""
"",Ghost,"수원시","2019-02-25 17:21:56",4398,1333,16.34,13.37,35.32,100,"","","",""
"",Ghost,"안양시","2019-02-26 07:06:07",4063,855,16.56,14.68,32.51,107,"","","",""
"",Ghost,"제주시","2019-03-01 07:11:57",19512,12426,126.11,23.27,78.74,418,"","","",""
"",Ghost,"서귀포시","2019-03-02 09:45:09",15203,11527,80.06,18.96,51.66,138,"","","",""
"",Ghost,"제주시","2019-03-03 08:05:02",4407,1399,24.76,20.23,37.03,11,"","","",""
"",Ghost,"수원시","2019-03-04 17:35:18",4102,265,16.47,14.45,42.97,114,"","","",""
"",Ghost,"안양시","2019-03-05 06:59:01",4017,557,16.21,14.53,39.11,125,"","","",""
"",Ghost,"수원시","2019-03-06 18:14:38",3969,439,15.79,14.32,40.21,111,"","","",""
"",Ghost,"안양시","2019-03-07 07:00:08",7736,342444,32.83,15.28,38.9,227,"","","",""
"",Ghost,"수원시","2019-03-11 17:20:20",4092,610,16.38,14.41,37.29,109,"","","",""
"",Ghost,"안양시","2019-03-14 06:53:36",3789,2064,16.5,15.67,40.73,127,"","","",""
"",Ghost,"수원시","2019-03-14 19:08:11",3299,7238,13.33,14.54,42.48,58,"","","",""
"",Ghost,"안양시","2019-03-18 07:00:56",4033,456,16.39,14.63,40.16,127,"","","",""
"",Ghost,"수원시","2019-03-18 20:41:47",3909,680,17.74,16.34,40.54,111,"","",40,114
"",Ghost,"안양시","2019-03-19 07:04:33",3943,511,17.66,16.12,45.12,98,"","",49,105
"",Ghost,"수원시","2019-03-19 19:05:14",3741,414,17.69,17.02,44.15,101,"","",46,132
"",Ghost,"안양시","2019-03-21 06:58:35",3887,548,17.83,16.52,34.85,108,"","",49,99
"",Ghost,"수원시","2019-03-21 20:18:01",3394,132,14.32,15.19,37.35,77,"","",48,91
"",Ghost,"안양시","2019-03-25 07:00:09",3867,662,17.92,16.69,44.85,100,"","",52,121
"",Ghost,"수원시","2019-03-25 17:20:14",3685,526,17.76,17.35,42.76,112,"","",45,91
"",Ghost,"안양시","2019-03-26 06:52:44",3956,488,17.82,16.21,46.1,97,"","",51,123
"",Ghost,"수원시","2019-03-26 20:56:41",4149,376,17.81,15.45,40.82,100,"","",43,83
"",Ghost,"안양시","2019-03-28 07:01:59",3845,386,17.87,16.74,37.21,115,"","",50,93
"",Ghost,"수원시","2019-03-28 19:03:55",4001,380,17.76,15.98,42.35,101,"","",45,87
"",Ghost,"안양시","2019-03-30 07:19:52",18469,7879,95.56,18.63,37.35,155,"","",55,114
"",Ghost,"안양시","2019-04-08 06:58:17",7774,36308,34.91,16.17,43.32,206,"","",42,144
"",Ghost,"안양시","2019-04-09 06:54:56",8120,120946,34.61,15.34,38.04,242,"","",43,117
"",Ghost,"안양시","2019-04-12 07:17:15",8019,293190,35.58,15.97,43.88,203,"","",40,96
"",Ghost,"안양시","2019-04-16 06:56:33",3805,729,17.34,16.41,45.54,118,"","",48,120
"",Ghost,"수원시","2019-04-18 20:32:38",4037,449,17.42,15.53,37.07,99,"","",37,121
"",Ghost,"안양시","2019-04-22 07:06:11",3879,666,17.32,16.08,48.18,113,"","",46,113
"",Ghost,"수원시","2019-04-22 17:18:15",4153,640,17.51,15.18,36.38,103,"","",38,132
"",Ghost,"안양시","2019-04-23 06:51:15",3838,534,17.36,16.29,46.93,135,"","",47,149
"","","수원시","2019-04-23 20:16:41",4065,685,17.5,15.5,37.9,102,"","",38,135
"","","수원시","2019-04-24 17:16:40",4123,760,17.5,15.28,42.35,99,"","",37,113
"","","안양시","2019-04-25 06:55:10",3595,436,17.3,17.32,47.07,114,"","",48,131
"",Ghost,"안양시","2019-04-29 07:13:01",7744,35000,34.87,16.21,45.12,229,"","",41,109
"",Ghost,"안양시","2019-05-02 07:03:22",3643,644,17.52,17.32,42.21,99,"","",45,130
"",Ghost,"수원시","2019-05-02 20:34:04",3915,485,17.47,16.07,37.21,183,"","",36,117
"",Ghost,"안양시","2019-05-03 05:43:36",3899,518,17.51,16.17,36.38,96,"","",45,100
"",Ghost,"수원시","2019-05-03 17:12:36",4231,1100,17.73,15.08,42.35,97,"","",36,139
"",Ghost,"안양시","2019-05-05 10:33:08",13747,3899,73.86,19.34,35.82,66,"","",54,124
"",Ghost,"안양시","2019-05-07 06:54:44",3863,432,17.37,16.18,43.32,105,"","",46,128
"",Ghost,"수원시","2019-05-07 18:48:47",3965,404,17.43,15.83,34.29,101,"","",37,136
"",Ghost,"안양시","2019-05-14 06:50:04",3640,378,17.35,17.16,35.27,100,"","",45,139
"",Ghost,"수원시","2019-05-14 17:32:38",4083,687,17.39,15.33,44.99,101,"","",36,133
"",Ghost,"안양시","2019-05-17 06:04:59",3541,654,16.77,17.04,48.04,113,"","",39,130
"",Ghost,"수원시","2019-05-17 17:08:28",5071,1282,22.47,15.95,42.63,207,"","",31,128
"",Ghost,"안양시","2019-05-20 06:56:36",3151,1044,15.55,17.76,40.82,99,"","",39,121
"",Ghost,"수원시","2019-05-20 17:46:34",4088,764,16.57,14.59,38.7,99,"","",23,120
"",Ghost,"안양시","2019-05-21 06:38:21",3937,628,17.03,15.58,32.77,113,"","",44,132
"",Ghost,"수원시","2019-05-21 21:05:14",4143,784,16.71,14.52,39.15,100,"","",32,112
"",Ghost,"안양시","2019-05-23 06:55:37",3739,674,17.05,16.41,34.99,102,"","",40,132
"",Ghost,"수원시","2019-05-23 18:41:58",3930,484,17.5,16.03,39.02,83,"","",35,127
"",Ghost,"안양시","2019-05-28 06:39:53",3951,546,17.5,15.94,34.43,94,"","",43,137
"",Ghost,"수원시","2019-05-28 17:09:50",5052,1025,23.72,16.91,40.54,77,"","",43,134
"",Ghost,"안양시","2019-05-30 06:36:56",3430,463,16.17,16.98,34.18,101,"","","",""
"",Ghost,"수원시","2019-05-30 19:46:27",3986,819,16.6,14.99,38.44,118,"","","",""
"",Ghost,"안양시","2019-06-03 06:59:07",7869,34866,32.91,15.06,42.41,201,"","","",""
"",Ghost,"안양시","2019-06-04 06:48:23",3661,490,16.25,15.98,32.4,101,"","","",""
"",Ghost,"수원시","2019-06-04 18:57:21",3707,583,16.4,15.93,39.1,90,"","","",""
"",Ghost,"마포구","2019-06-09 08:02:30",5509,2614,34.16,22.32,45.83,0,"","","",""
"",Ghost,"수원시","2019-06-10 17:32:19",4167,1404,17.99,15.54,41.5,104,"","",35,89
"",Ghost,"안양시","2019-06-11 06:20:56",7984,48858,34.19,15.42,45.26,198,"","",21,119
"",Ghost,"안양시","2019-06-12 06:05:01",3505,874,16.4,16.84,45.09,103,"","","",""
"",Ghost,"정선군","2019-06-15 11:12:00",13452,12340,55.53,14.86,75.44,880,"","","",""
"",Ghost,"안양시","2019-06-17 07:08:29",3569,400,16.35,16.49,41.52,115,"","","",""
"",Ghost,"수원시","2019-06-17 17:46:29",3909,744,16.39,15.1,43.88,81,"","","",""
"",Ghost,"수원시","2019-06-18 18:23:56",3898,480,17.58,16.24,40.4,93,"","",40,117
"",Ghost,"안양시","2019-06-19 06:11:57",3926,84461,17.9,16.42,37.35,93,"","",45,122
"",Ghost,"안양시","2019-06-20 06:45:13",3821,524,17.24,16.24,36.66,106,"","",46,128
"",Ghost,"과천시","2019-06-22 11:02:55",6035,6280,18.82,11.23,35.81,243,"","","",""
"",Ghost,"안양시","2019-06-24 07:08:56",8546,35883,34.05,14.34,36.29,284,"","","",""
"",Ghost,"안양시","2019-06-25 06:59:05",3536,661,16.45,16.75,43.46,122,"","","",""
"",Ghost,"수원시","2019-06-25 20:40:58",4051,607,16.56,14.72,36.95,92,"","","",""
"",Ghost,"수원시","2019-06-26 17:10:25",3907,1512,16.97,15.64,38.32,102,"","","",""
"",Ghost,"안양시","2019-06-27 07:06:26",3346,761,16.49,17.75,40.93,112,"","","",""
"",Ghost,"안양시","2019-07-01 06:54:13",3496,632,16.53,17.02,40.02,114,"","","",""
"",Ghost,"수원시","2019-07-01 17:15:32",6143,1584,22.31,13.08,39.32,293,"","","",""
"",Ghost,"안양시","2019-07-02 07:00:59",3540,729,16.48,16.75,35.42,95,"","","",""
"",Ghost,"수원시","2019-07-02 17:06:31",6098,1414,22.67,13.38,36.57,293,"","","",""
"",Ghost,"안양시","2019-07-03 06:59:20",3698,512,16.4,15.97,38.81,92,"","","",""
"",Ghost,"안양시","2019-07-08 06:58:40",7415,34389,32.95,16.0,42.11,198,"","","",""
"",Ghost,"안양시","2019-07-09 06:56:26",7187,33806,31.96,16.01,40.69,147,"","","",""
"",Ghost,"안양시","2019-07-10 07:10:56",3472,576,16.38,16.99,39.57,115,"","","",""
"",Ghost,"수원시","2019-07-10 17:00:36",7197,132258,32.97,16.49,42.69,205,"","","",""
"",Ghost,"수원시","2019-07-12 17:03:28",4609,629,17.7,13.82,41.53,147,"","","",""
"",Ghost,"시흥시","2019-07-13 08:46:46",11034,12679,51.91,16.94,32.88,22,"","","",""
"",Ghost,"안양시","2019-07-15 07:04:01",7965,34360,34.37,15.54,38.58,245,"","","",""
"",Ghost,"안양시","2019-07-16 06:45:59",3537,564,16.57,16.87,34.17,114,"","","",""
"",Ghost,"수원시","2019-07-16 19:59:26",3976,735,16.49,14.93,38.36,71,"","","",""
"",Ghost,"안양시","2019-07-17 06:54:00",4739,589,18.07,13.72,32.93,166,"","","",""
"",Ghost,"수원시","2019-07-17 19:57:18",3877,495,16.05,14.91,38.33,81,"","","",""
"",Ghost,"안양시","2019-07-18 07:03:55",3630,453,16.59,16.46,36.73,108,"","","",""
"",Ghost,"수원시","2019-07-18 17:20:16",4480,346,17.83,14.33,39.42,139,"","","",""
"",Ghost,"안양시","2019-07-19 06:41:22",3430,761,16.49,17.31,38.29,92,"","","",""
"",Ghost,"수원시","2019-07-19 17:08:09",3577,690,16.37,16.48,37.86,94,"","","",""
"",Ghost,"안양시","2019-07-21 12:58:07",5342,1300,21.0,14.15,35.73,213,"","","",""
"",Ghost,"안양시","2019-07-22 07:03:31",3535,758,16.38,16.68,35.01,84,"","","",""
"",Ghost,"수원시","2019-07-22 17:01:59",4654,951,17.73,13.71,38.8,147,"","","",""
"",Ghost,"안양시","2019-07-23 06:49:42",8219,42755,34.05,14.91,40.42,246,"","","",""
"",Ghost,"안양시","2019-07-24 07:14:13",8192,32825,34.1,14.99,40.41,230,"","","",""
"",Ghost,"안양시","2019-07-29 06:55:37",3587,643,16.44,16.5,39.22,104,"","","",""
"",Ghost,"수원시","2019-07-29 17:20:28",4464,348,17.87,14.41,44.86,143,"","","",""
"",Ghost,"안양시","2019-07-31 06:53:24",3424,922,16.44,17.29,39.72,93,"","","",""
"",Ghost,"수원시","2019-07-31 17:19:04",4364,220,17.57,14.5,37.99,143,"","","",""
"",Ghost,"안양시","2019-08-01 06:47:11",3566,1869,16.34,16.5,38.21,98,"","","",""
"",Ghost,"수원시","2019-08-01 18:21:16",4531,480,17.66,14.03,41.15,142,"","","",""
"",Ghost,"안양시","2019-08-02 06:38:58",3670,486,16.51,16.2,38.93,105,"","","",""
"",Ghost,"수원시","2019-08-05 17:15:29",4634,322,17.72,13.76,36.0,140,"","","",""
"",Ghost,"안양시","2019-08-06 06:43:02",3573,734,16.36,16.48,34.98,101,"","","",""
"",Ghost,"수원시","2019-08-07 17:14:25",4575,750,17.67,13.91,38.66,137,"","","",""
"",Ghost,"안양시","2019-08-08 06:39:37",3723,590,16.45,15.91,38.73,103,"","","",""
"",Ghost,"수원시","2019-08-08 20:37:29",3862,687,16.54,15.42,41.48,70,"","","",""
"",Ghost,"안양시","2019-08-09 06:33:42",3648,684,16.54,16.32,39.35,101,"","","",""
"","Santa Cruz","수원시","2019-08-12 17:52:13",4040,652,16.6,14.79,40.77,82,"","","",""
"","Santa Cruz","안양시","2019-08-13 05:56:54",3937,746,16.5,15.09,33.72,136,"","","",""
"","Santa Cruz","안양시","2019-08-26 07:03:22",3563,733,16.48,16.65,43.97,102,"","","",""
"","Santa Cruz","수원시","2019-08-26 17:55:11",3970,698,16.45,14.91,40.01,88,"","","",""
"","Santa Cruz","수원시","2019-08-28 17:10:21",3844,621,16.48,15.43,41.48,82,"","","",""
"","Santa Cruz","안양시","2019-08-29 07:07:01",3641,642,16.38,16.2,39.48,113,"","","",""
"","Santa Cruz","안양시","2019-08-31 10:32:10",4840,1445,20.91,15.55,37.12,206,"","","",""
"","Santa Cruz","안양시","2019-09-02 07:03:48",3793,2299,16.39,15.56,39.44,104,"","","",""
"","Santa Cruz","수원시","2019-09-02 17:30:08",4417,1427,17.55,14.31,37.33,164,"","","",""
"","Santa Cruz","안양시","2019-09-03 06:48:20",3533,762,16.4,16.71,42.05,90,"","","",""
"","Santa Cruz","수원시","2019-09-03 18:42:18",4368,4362,16.92,13.94,35.24,129,"","","",""
"","Santa Cruz","안양시","2019-09-09 06:46:54",3531,851,16.46,16.78,41.24,88,"","","",""
"","Santa Cruz","수원시","2019-09-09 17:31:40",3874,910,16.35,15.19,36.18,98,"","","",""
"","Santa Cruz","안양시","2019-09-11 06:04:48",3665,905,16.5,16.2,39.61,103,"","","",""
"","Santa Cruz","수원시","2019-09-11 17:15:04",4808,955,17.53,13.12,39.31,122,"","","",""
"","Santa Cruz","안양시","2019-09-12 16:17:28",4780,1386,21.23,15.99,37.73,242,"","","",""
"","Santa Cruz","안양시","2019-09-14 07:49:06",4980,1186,21.64,15.65,37.99,213,"","","",""
"","Santa Cruz","안양시","2019-09-16 07:06:13",3654,661,16.51,16.27,39.43,120,"","","",""
"","Santa Cruz","수원시","2019-09-16 17:29:42",3964,293,16.41,14.9,40.01,104,"","","",""
"","Santa Cruz","안양시","2019-09-17 06:52:22",3731,518,16.49,15.91,37.47,113,"","","",""
"","Santa Cruz","수원시","2019-09-17 18:53:37",3919,420,16.43,15.1,39.26,92,"","","",""
"","Santa Cruz","안양시","2019-09-18 05:59:43",3606,385,16.39,16.36,38.15,93,"","","",""
"","Santa Cruz","수원시","2019-09-18 16:58:16",6181,821,22.23,12.95,36.47,291,"","","",""
"","Santa Cruz","안양시","2019-09-19 06:41:59",3609,360,16.59,16.55,39.35,89,"","","",""
"","Santa Cruz","수원시","2019-09-19 19:54:51",3985,709,16.45,14.87,38.0,102,"","","",""
"","Santa Cruz","안양시","2019-09-20 06:00:50",3779,356,16.4,15.62,29.97,114,"","","",""
"","Santa Cruz","양평군","2019-09-21 10:13:39",7997,1512,30.83,13.88,46.07,435,"","","",""
"","Santa Cruz","과천시","2019-09-21 16:06:03",1935,325,9.79,18.21,36.46,25,"","","",""
"","Santa Cruz","안양시","2019-09-23 06:56:46",3817,374,16.57,15.63,41.1,90,"","","",""
"","Santa Cruz","수원시","2019-09-23 17:55:43",3966,674,16.55,15.02,36.94,89,"","","",""
"","Santa Cruz","안양시","2019-09-24 06:55:40",3410,832,15.51,16.37,40.25,117,"","","",""
"","Santa Cruz","수원시","2019-09-24 19:58:11",4050,907,16.38,14.56,36.45,103,"","","",""
"","Santa Cruz","안양시","2019-09-25 06:04:14",3651,2416,16.38,16.15,35.18,135,"","","",""
"","Santa Cruz","수원시","2019-09-25 17:22:02",3987,1207,16.4,14.81,39.71,90,"","","",""
"","Santa Cruz","안양시","2019-09-26 06:53:22",3830,377,16.31,15.33,36.74,102,"","","",""
"","Santa Cruz","안양시","2019-09-30 07:12:04",3645,685,16.44,16.23,30.95,102,"","","",""
"","Santa Cruz","수원시","2019-09-30 17:06:14",3876,836,16.4,15.23,34.69,112,"","","",""
"","Santa Cruz","안양시","2019-10-01 07:05:16",3727,479,16.51,15.95,39.5,107,"","","",""
"","Santa Cruz","수원시","2019-10-01 19:20:14",3921,440,16.47,15.12,35.4,99,"","","",""
"","Santa Cruz","안양시","2019-10-03 17:10:59",4906,654,20.82,15.28,37.84,207,"","","",""
"","Santa Cruz","안양시","2019-10-05 09:45:37",5449,1623,22.11,14.61,38.16,215,"","","",""
"","Santa Cruz","안양시","2019-10-09 10:06:23",5440,1672,21.73,14.38,34.77,217,"","","",""
"","Santa Cruz","안양시","2019-10-10 07:06:07",3815,329,16.51,15.58,38.41,103,"","","",""
"","Santa Cruz","수원시","2019-10-10 20:09:53",3972,744,16.48,14.94,36.47,97,"","","",""
"","","","2019-10-13 09:01:03",35445,0,103.73,10.54,40.68,337,"","","",""
"","Santa Cruz","안양시","2019-10-14 07:07:46",3816,614,16.4,15.47,40.51,102,"","","",""
"","Santa Cruz","수원시","2019-10-14 17:29:40",4128,600,16.43,14.33,35.24,100,"","","",""
"","Santa Cruz","안양시","2019-10-15 07:04:18",3876,190,16.57,15.39,34.45,91,"","","",""
"","Santa Cruz","수원시","2019-10-15 17:17:38",4117,387,16.43,14.37,34.52,100,"","","",""
"","Santa Cruz","안양시","2019-10-19 17:04:01",5267,675,20.63,14.1,34.36,210,"","","",""
"","Santa Cruz","안양시","2019-10-20 12:30:29",4721,186,20.45,15.6,38.7,209,"","","",""
"","Santa Cruz","안양시","2019-10-21 07:01:50",4016,218,16.54,14.83,33.01,116,"","","",""
"","Santa Cruz","수원시","2019-10-21 17:12:41",4952,651,17.55,12.76,36.87,132,"","","",""
"","Santa Cruz","안양시","2019-10-22 06:56:30",4067,509,16.41,14.52,29.5,114,"","","",""
"","Santa Cruz","수원시","2019-10-22 18:46:55",4370,557,16.37,13.48,35.68,114,"","","",""
"","Santa Cruz","안양시","2019-10-23 06:06:18",4192,382,16.45,14.13,39.0,107,"","","",""
"","Santa Cruz","수원시","2019-10-23 17:17:40",4101,1194,16.67,14.63,34.54,91,"","","",""
"","Santa Cruz","안양시","2019-10-24 07:07:32",3775,477,16.56,15.8,40.23,109,"","","",""
"","Santa Cruz","수원시","2019-10-24 18:32:46",3921,622,16.48,15.13,40.03,90,"","","",""
"","Santa Cruz","안양시","2019-10-28 07:09:57",3773,724,16.41,15.65,31.83,102,"","","",""
"","Santa Cruz","수원시","2019-10-28 17:03:45",4111,739,16.4,14.36,38.59,89,"","","",""
"","Santa Cruz","안양시","2019-10-30 06:04:30",3984,457,16.37,14.79,38.23,106,"","","",""
"","Santa Cruz","수원시","2019-10-30 17:13:29",4542,544,17.72,14.05,36.1,150,"","","",""
"","Santa Cruz","안양시","2019-10-31 07:12:12",3855,508,16.46,15.38,33.19,106,"","","",""
"","Santa Cruz","안양시","2019-11-05 06:29:54",3765,580,16.45,15.74,32.05,105,"","","",""
"","Santa Cruz","수원시","2019-11-05 17:31:25",3870,611,16.44,15.29,37.8,115,"","","",""
"","Santa Cruz","수원시","2019-11-06 17:22:55",3795,811,16.03,15.21,46.44,136,"","",42,103
"","Santa Cruz","안양시","2019-11-07 06:48:38",3202,541,15.8,17.77,37.15,117,"","","",""
"","Santa Cruz","안양시","2019-11-08 06:44:11",3642,703453,15.57,15.39,32.12,96,"","",51,113
"","Santa Cruz","안양시","2019-11-16 11:09:17",4998,1477,21.29,15.34,39.02,229,"","","",""
"","Santa Cruz","안양시","2019-11-23 15:26:56",5396,1421,21.85,14.58,37.37,221,"","","",""
"","Santa Cruz","수원시","2019-11-25 17:27:09",4113,1131,16.57,14.5,35.92,94,"","","",""
"","Santa Cruz","안양시","2019-11-27 06:51:58",3687,613,16.67,16.28,35.9,113,"","","",""
"","Santa Cruz","수원시","2019-11-27 17:05:25",4158,334,16.47,14.26,34.46,103,"","","",""
"","Santa Cruz","안양시","2019-11-28 06:38:44",3888,842,16.52,15.3,32.65,110,"","","",""
"","Santa Cruz","수원시","2019-11-28 18:59:31",4103,530,16.44,14.42,35.56,92,"","","",""
"","Santa Cruz","안양시","2019-12-08 16:05:57",5415,810,20.91,13.9,32.64,226,"","","",""
"","Santa Cruz","안양시","2019-12-15 13:39:19",5046,1526,20.66,14.74,44.68,235,"","","",""
"","Santa Cruz","안양시","2019-12-22 12:43:42",6374,1851,23.68,13.38,34.48,297,"","","",""
"","Santa Cruz","안양시","2019-12-28 10:13:10",5461,993,20.68,13.63,37.74,230,"","","",""
"","Santa Cruz","안양시","2020-01-01 15:38:41",5641,1080,20.85,13.31,31.82,269,"","","",""
"","Santa Cruz","안양시","2020-01-24 13:31:21",5371,1519,20.81,13.95,44.72,228,"","","",""
"","","Tanah Lot","2020-02-15 09:37:27",5760,523209,21.69,13.55,19.95,289,"","","",""
"","","","2020-02-24 06:48:44",30471,0,19.42,2.29,-3.6,0,"","","",""
"","","안양시","2020-02-29 15:53:43",5047,1906,20.24,14.44,19.95,264,"","","",""
"","","안양시","2020-03-02 06:51:37",3694,647,16.12,15.71,19.94,115,"","","",""
"",Ghost,"수원시","2020-03-02 18:03:17",4035,852,16.75,14.94,39.13,105,"","","",""
"",Ghost,"안양시","2020-03-03 06:54:21",3948,261,16.56,15.1,38.13,127,"","","",""
"",Ghost,"수원시","2020-03-03 17:11:39",4709,478,17.8,13.61,38.67,166,"","","",""
"",Ghost,"안양시","2020-03-04 06:44:11",3927,695,16.56,15.18,38.26,88,"","","",""
"",Ghost,"수원시","2020-03-04 17:12:24",4326,496,16.53,13.75,36.89,97,"","","",""
"",Ghost,"수원시","2020-03-06 17:18:31",4865,554,17.77,13.15,37.31,145,"","","",""
"",Ghost,"안양시","2020-03-08 16:06:38",3977,627,16.45,14.89,33.31,95,"","","",""
"",Ghost,"수원시","2020-03-09 17:20:32",4309,864,16.67,13.93,33.18,99,"","","",""
"",Ghost,"안양시","2020-03-10 06:52:09",3865,650,16.62,15.48,34.86,116,"","","",""
"",Ghost,"안양시","2020-03-11 06:53:13",3859,397,16.6,15.49,37.54,107,"","","",""
"",Ghost,"수원시","2020-03-11 17:13:52",4943,596,17.99,13.1,32.27,159,"","","",""
"",Ghost,"안양시","2020-03-12 06:49:30",8080,44516,32.87,14.65,35.03,202,"","","",""
"",Ghost,"안양시","2020-03-14 08:05:17",17203,10055,86.98,18.2,39.94,176,"","","",""
"",Ghost,"남동구","2020-03-15 10:37:46",4423,3279,15.35,12.49,18.76,0,"","","",""
"",Ghost,"안양시","2020-03-16 06:52:41",4218,475,16.41,14.01,29.7,118,"","","",""
"",Ghost,"수원시","2020-03-16 20:15:54",4267,414,16.48,13.9,34.47,106,"","","",""
"",Ghost,"안양시","2020-03-17 06:51:29",4111,448,16.46,14.41,36.33,106,"","","",""
"",Ghost,"수원시","2020-03-17 18:00:56",4085,720,16.56,14.59,37.79,90,"","","",""
"",Ghost,"안양시","2020-03-18 06:53:58",4054,501,16.43,14.59,35.28,114,"","","",""
"",Ghost,"수원시","2020-03-18 17:40:07",4794,602,17.74,13.32,34.82,157,"","","",""
"",Ghost,"안양시","2020-03-20 06:44:40",4088,479,16.36,14.41,35.4,96,"","","",""
"",Ghost,"수원시","2020-03-20 17:24:00",5012,765,17.65,12.68,28.66,167,"","","",""
"",Ghost,"군포시","2020-03-21 10:08:41",4095,1619,11.61,10.2,27.48,295,"","","",""
"",Ghost,"안양시","2020-03-23 07:13:16",4052,627,16.36,14.53,36.11,117,"","","",""
"",Ghost,"수원시","2020-03-23 17:20:41",9006,44127,34.2,13.67,39.15,271,"","","",""
"",Ghost,"수원시","2020-03-24 17:22:10",4390,494,16.38,13.44,35.16,86,"","","",""
"",Ghost,"안양시","2020-03-25 06:48:11",3825,1069,16.45,15.48,35.07,107,"","","",""
"",Ghost,"수원시","2020-03-25 17:02:31",4244,1177,16.52,14.01,35.78,103,"","","",""
"",Ghost,"안양시","2020-03-28 09:35:33",8293,5246,28.38,12.32,37.7,349,"","","",""
"",Ghost,"안양시","2020-03-30 07:05:34",3994,415,16.41,14.79,36.75,116,"","","",""
"",Ghost,"수원시","2020-03-30 17:14:50",4196,801,16.47,14.13,39.51,79,"","","",""
"",Ghost,"안양시","2020-03-31 06:54:34",4143,342,16.24,14.11,32.12,168,"","","",""
"",Ghost,"수원시","2020-03-31 17:29:59",4145,777,16.32,14.18,38.62,89,"","","",""
"",Ghost,"안양시","2020-04-01 06:52:44",4187,468,16.73,14.38,36.04,159,"","","",""
"",Ghost,"수원시","2020-04-01 17:07:05",5328,652,18.34,12.39,39.62,146,"","","",""
"",Ghost,"안양시","2020-04-02 06:47:11",4095,497,16.54,14.54,32.95,116,"","","",""
"",Ghost,"수원시","2020-04-02 17:11:14",5417,819,19.59,13.02,36.96,153,"","","",""
"",Ghost,"군포시","2020-04-04 10:07:04",4048,1621,11.38,10.12,26.01,297,"","","",""
"","Santa Cruz","안양시","2020-04-06 06:46:34",3992,647,16.43,14.81,36.36,126,"","","",""
"","Santa Cruz","수원시","2020-04-06 17:15:36",5067,381,17.9,12.72,32.29,161,"","","",""
